,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
33,65dd9f43d872d6f0c7de31a0,월세 200/115,월세 200/115,0,1,19.84,2000000,1150000,서초동,0,천장형 침대 신발장 냉장고 세탁기 샤워부스 싱크대 인덕션 전자레인지 TV 붙박이장 화재경보기 무인택배함 경비원 비디오폰 CCTV 현관보안,https://www.dabangapp.com/room/65cb6aefbc11f327d2110e0b,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
34,65dd9f47d872d6f0c7de31a1,월세 200/130,월세 200/130,0,1,38.8,2000000,1300000,서초동,0,벽걸이형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 싱크대 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 CCTV 현관보안,https://www.dabangapp.com/room/65dc1430c47f0428c1d28463,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
35,65dd9f4bd872d6f0c7de31a2,월세 150/115,월세 150/115,0,1,33.75,1500000,1150000,서초동,0,벽걸이형 침대 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 싱크대 가스레인지 전자레인지 TV 붙박이장 화재경보기 경비원 인터폰 카드키 CCTV,https://www.dabangapp.com/room/65d15adcccc2d4708df8effb,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
36,65dd9f4ed872d6f0c7de31a3,월세 2억5000/75,월세 2억5000/75,0,1,64.46,250000000,750000,서초동,0, 인터폰 현관보안,https://www.dabangapp.com/room/65cd7dcaeab138244c371041,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
37,65dd9f52d872d6f0c7de31a4,월세 120/120,월세 120/120,0,1,37.82,1200000,1200000,서초동,0,벽걸이형 침대 책상 옷장 신발장 냉장고 세탁기 싱크대 가스레인지 인덕션 전자레인지 TV 경비원 비디오폰 인터폰 카드키 CCTV 현관보안 방범창,https://www.dabangapp.com/room/65cd6439557ee71cbbeb7ecf,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
38,65dd9f56d872d6f0c7de31a5,월세 1000/75,월세 1000/75,0,0,25.0,10000000,750000,서초동,0,벽걸이형 냉장고 세탁기 ,https://www.dabangapp.com/room/65dc76b4d65eb3091ccf861e,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
41,65dd9f62d872d6f0c7de31a8,월세 1000/95,월세 1000/95,0,1,29.85,10000000,950000,서초동,0,천장형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 비데 싱크대 가스레인지 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 현관보안 방범창,https://www.dabangapp.com/room/65dc678f18342a54b5be3042,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
42,65dd9f66d872d6f0c7de31a9,월세 1000/76,월세 1000/76,0,0,27.58,10000000,760000,서초동,0,벽걸이형 옷장 신발장 냉장고 세탁기 가스레인지 전자레인지 CCTV,https://www.dabangapp.com/room/65bc331819bf84367c824d15,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
45,65dd9f71d872d6f0c7de31ac,월세 200/116,월세 200/116,0,1,19.84,2000000,1160000,서초동,0,천장형 침대 옷장 신발장 냉장고 세탁기 샤워부스 인덕션 전자레인지 TV 붙박이장 무인택배함 경비원 CCTV 현관보안,https://www.dabangapp.com/room/65dd92f76b1e111769efe390,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
46,65dd9f75d872d6f0c7de31ad,월세 3000/200,월세 3000/200,0,1,42.1,30000000,2000000,서초동,0,천장형 침대 식탁 신발장 냉장고 세탁기 건조기 샤워부스 싱크대 인덕션 붙박이장 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안 방범창,https://www.dabangapp.com/room/659baae1f2bd24038d3295b8,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
