,Unnamed: 0,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl,station,station_region
38,38,65d83dd5586d871d4e26c4fb,150호점,Room C,1,0,8.0,500000,560000,서울역,0,WIFI 에어컨 세탁기 냉장고 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/150,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,서울,남대문로5가
39,39,65d83de1586d871d4e26c4fc,102호점,Room A,2,0,6.7,500000,570000,숙대입구역,0,WIFI 에어컨 세탁기 냉장고 의자 테이블 청소기 빨래건조대 신발장 커튼 책장 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 암막커텐 행거 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/102(266),https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,숙대입구,갈월동
40,40,65d83de3586d871d4e26c4fd,102호점,Room B,2,0,6.9,500000,530000,숙대입구역,0,WIFI 에어컨 세탁기 냉장고 의자 테이블 청소기 빨래건조대 신발장 커튼 책장 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 암막커텐 행거 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/102(266),https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,숙대입구,갈월동
41,41,65d83de5586d871d4e26c4fe,102호점,Room C,2,0,7.7,500000,550000,숙대입구역,0,WIFI 에어컨 세탁기 냉장고 의자 테이블 청소기 빨래건조대 신발장 커튼 책장 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 암막커텐 행거 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/102(266),https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,숙대입구,갈월동
42,42,65d83de7586d871d4e26c4ff,102호점,Room D,2,0,8.3,500000,550000,숙대입구역,0,WIFI 에어컨 세탁기 냉장고 의자 테이블 청소기 빨래건조대 신발장 커튼 책장 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 암막커텐 행거 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/102(266),https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,숙대입구,갈월동
43,43,65d83de9586d871d4e26c500,102호점,Room E,2,0,8.3,500000,540000,숙대입구역,0,WIFI 에어컨 세탁기 냉장고 의자 테이블 청소기 빨래건조대 신발장 커튼 책장 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 암막커텐 행거 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/102(266),https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,숙대입구,갈월동
44,44,65d83df6586d871d4e26c501,227joy하우스,5호실,2,0,0.0,1000000,360000,신사역,0,WIFI 에어컨 세탁기 냉장고 정수기 전자렌지 가스렌지 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/227,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,신사,신사동
45,45,65d83df8586d871d4e26c502,227joy하우스,1호실,2,0,0.0,1000000,430000,신사역,0,WIFI 에어컨 세탁기 냉장고 정수기 전자렌지 가스렌지 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/227,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,신사,신사동
46,46,65d83dfa586d871d4e26c503,227joy하우스,2호실,2,1,0.0,900000,340000,신사역,0,WIFI 에어컨 세탁기 냉장고 정수기 전자렌지 가스렌지 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/227,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,신사,신사동
47,47,65d83e08586d871d4e26c504,308호점(동지),C,2,1,9.0,0,430000,동대입구역,0,WIFI 에어컨 세탁기 냉장고 전자렌지 가스렌지 식탁 빨래건조대 책상 침대 옷장,https://www.woozoo.kr/houses/308,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,동대입구,장충동2가
48,48,65d83e13586d871d4e26c505,165호점,Room A,2,0,8.5,1000000,520000,동대입구역,0,WIFI 에어컨 세탁기 냉장고 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/165,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,동대입구,장충동2가
